Pod Name,Type,Iteration,RAM,CPUS,Duration
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,17,32Gi,8,31
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,7,16Gi,6,30
ven1-backend-6f6564689-gxqlf,demo.fastq,16,8Gi,4,89
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,5,32Gi,8,50
ven6-backend-8c4c7995c-77qf7,demo.fastq,6,32Gi,8,82
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,2,32Gi,8,55
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,7,32Gi,8,29
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,19,8Gi,4,34
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,5,32Gi,8,33
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,13,8Gi,4,73
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,15,,,
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,19,32Gi,8,31
ven7-backend-7487fcccb9-2pmsh,demo.fastq,3,8Gi,4,90
ven7-backend-7487fcccb9-2pmsh,demo.fastq,12,8Gi,4,88
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,19,32Gi,8,70
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,13,16Gi,6,81
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,9,8Gi,4,75
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,3,16Gi,6,52
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,9,8Gi,4,34
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,2,16Gi,6,47
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,1,8Gi,4,53
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,13,32Gi,8,63
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,1,16Gi,6,71
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,11,8Gi,4,33
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,7,8Gi,4,34
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,4,16Gi,6,78
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,17,16Gi,6,39
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,15,8Gi,4,39
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,7,32Gi,8,47
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,2,32Gi,8,31
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,6,8Gi,4,33
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,3,16Gi,6,51
ven10-backend-67c6475b55-bh6c6,demo.fastq,1,8Gi,4,88
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,12,32Gi,8,35
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,14,8Gi,4,71
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,16,16Gi,6,76
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,14,16Gi,6,101
ven3-backend-856cdd777f-wk4px,demo.fastq,3,32Gi,8,91
ven8-backend-c8f9bf456-xcgxp,demo.fastq,6,16Gi,6,90
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,15,8Gi,4,33
ven8-backend-c8f9bf456-xcgxp,demo.fastq,2,16Gi,6,90
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,5,16Gi,6,78
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,8,8Gi,4,83
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,14,32Gi,8,34
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,18,8Gi,4,78
